20191226-195001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 0
20191226-195501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-200001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-200501  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 48
20191226-201001  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 80
20191226-201501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 168
20191226-202001  ; RECEIVED_RATE ; 120 ; SENT_RATE ; 16
20191226-202501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191226-203001  ; RECEIVED_RATE ; 160 ; SENT_RATE ; 240
20191226-203501  ; RECEIVED_RATE ; 2520 ; SENT_RATE ; 464
20191226-204002  ; RECEIVED_RATE ; 3712 ; SENT_RATE ; 72
20191226-204501  ; RECEIVED_RATE ; 3400 ; SENT_RATE ; 80
20191226-205001  ; RECEIVED_RATE ; 3648 ; SENT_RATE ; 88
20191226-205501  ; RECEIVED_RATE ; 1664 ; SENT_RATE ; 40
20191226-210001  ; RECEIVED_RATE ; 2272 ; SENT_RATE ; 56
20191226-210501  ; RECEIVED_RATE ; 2944 ; SENT_RATE ; 96
20191226-211001  ; RECEIVED_RATE ; 224 ; SENT_RATE ; 40
20191226-211501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 0
20191226-212001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-212501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-213001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 16
20191226-213501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-214001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-214501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191226-215001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-215501  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 8
20191226-220001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191226-220501  ; RECEIVED_RATE ; 480 ; SENT_RATE ; 32
20191226-221002  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-221501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-222001  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 8
20191226-222501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-223001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-223502  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 8
20191226-224001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-224501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-225001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 8
