start-time             |end-time               |duration|rtt     |proto|sip                                   |sp   |dip                                     |dp   |srcMacAddress    |destMacAddress   |iflags  |uflags  |riflags |ruflags |isn     |risn    |tag|rtag|pkt    |oct     |rpkt    |roct    |end-reason
2024-01-11 10:55:52.968|2024-01-11 10:55:52.968|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|57416|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     249|       0|       0|idle 
2024-01-11 10:55:52.974|2024-01-11 10:55:52.974|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|55326|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     279|       0|       0|idle 
2024-01-11 10:55:52.977|2024-01-11 10:55:52.977|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|27442|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     279|       0|       0|idle 
2024-01-11 10:55:52.239|2024-01-11 10:55:55.738|   3.499|   0.000| 17|                            192.168.1.10|42361|                         239.255.255.250| 1900|b8:27:eb:09:4c:3c|01:00:5e:7f:ff:fa|       0|       0|       0|       0|00000000|00000000|000|000|       4|     776|       0|       0|idle 
2024-01-11 10:30:55.499|2024-01-11 11:00:39.997|1784.498|   5.174| 58|               fe80::de39:6fff:fef7:bf70|    0|               fe80::0cac:046e:883c:3d39|34816|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|      60|    3840|      82|    5248|active 
2024-01-11 10:56:00.542|2024-01-11 10:56:00.560|   0.018|   0.018| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 2083|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      83|       1|     145|idle 
2024-01-11 10:56:00.543|2024-01-11 10:56:00.564|   0.021|   0.021| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|18795|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      93|       1|     426|idle 
2024-01-11 10:56:00.552|2024-01-11 10:56:00.567|   0.015|   0.015| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|47600|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      91|       1|     204|idle 
2024-01-11 10:56:00.552|2024-01-11 10:56:00.570|   0.018|   0.018| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|43930|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      91|       1|     204|idle 
2024-01-11 10:54:59.395|2024-01-11 10:56:00.593|  61.198|   0.052|  6|                           192.168.1.174|57440|                           18.156.195.47|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|ded28d6e|04dc3cdd|000|000|       9|    1065|      10|    4948|idle 
